ID,Name,Salary,Type
c2535dad32c6534c7ba86d0763e0423e,Henderson Corkery,1537,Fixed
9c4c2ae81411e31234c42e82e92088ab,Anne Homenick,1654,Fixed
7e46e30ab4c4bbdf42f657ef0cf1485a,Wayne Kihn,1767,Fixed
1a3e264d43da21a8f223cae8e35f75f8,Ms. Betsy Mills,1830,Fixed
2b2fa96e6ac6888788fb508116790f05,Damien Funk,1830,Fixed
2139afe0991f424d2bca515774dcf051,Ettie Schmitt III,1889,Fixed
ac41de4363a8b820ab5d641f72c98e9f,Kirsten VonRueden,2017,Fixed
507097a6635deac192617eb63e0014f0,Keenan Emard,2061,Fixed
b15e5168ad1b52fbae24c6857d708398,Norwood Schuster DDS,2075,Fixed
efd948295a71ab66eabfca0173d9ad07,Gaston Pollich,2279,Fixed
e6fbcea5e3718ea1b0cafd7359fdc931,Shaylee Rau,9,Hourly
6230e6b8243785b498ea84971a827559,Ines Bayer,10,Hourly
1470d0bba3329fd409f4cd67ad6bd86f,Rosendo Bayer DVM,11,Hourly
a9eab72ce1408f72900d5f98841c34ff,Shanon Gleason,12,Hourly
d10d9bfddc6b38fc11ea2155141456d2,Dr. Kole Von,13,Hourly
118f09e6dad8075f99175a49430bc7dc,Rory Rodriguez,14,Hourly
bae758d8c82e0db2b4226891b8cb0a3d,Llewellyn McCullough,15,Hourly
993efc685545323eb031b8932541434b,Gregg Strosin II,16,Hourly
c8fb19e938379a62af9fcb4fb12adb88,Lawson Hartmann,17,Hourly
f6335f2b609e918972a1376f20062e4c,Anabel Mueller,18,Hourly
